"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 07:06:47 GMT 2022","Sat Dec 24 07:06:52 GMT 2022","4770","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Sat Dec 24 07:06:31 GMT 2022","Sat Dec 24 07:06:31 GMT 2022","141","","Location","","","","cy.url() - get the current URL",""
"passed","Sat Dec 24 07:05:41 GMT 2022","Sat Dec 24 07:05:42 GMT 2022","629","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Sat Dec 24 07:06:14 GMT 2022","Sat Dec 24 07:06:16 GMT 2022","2183","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sat Dec 24 07:06:40 GMT 2022","Sat Dec 24 07:06:40 GMT 2022","146","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Sat Dec 24 07:06:12 GMT 2022","Sat Dec 24 07:06:13 GMT 2022","1121","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sat Dec 24 07:06:37 GMT 2022","Sat Dec 24 07:06:37 GMT 2022","498","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Sat Dec 24 07:06:35 GMT 2022","Sat Dec 24 07:06:35 GMT 2022","285","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Sat Dec 24 07:06:43 GMT 2022","Sat Dec 24 07:06:44 GMT 2022","282","","Utilities","","","","Cypress.$ - call a jQuery method",""
"passed","Sat Dec 24 07:06:26 GMT 2022","Sat Dec 24 07:06:26 GMT 2022","153","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Sat Dec 24 07:05:42 GMT 2022","Sat Dec 24 07:05:42 GMT 2022","186","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Sat Dec 24 07:06:44 GMT 2022","Sat Dec 24 07:06:44 GMT 2022","160","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Sat Dec 24 07:06:05 GMT 2022","Sat Dec 24 07:06:06 GMT 2022","158","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Sat Dec 24 07:06:01 GMT 2022","Sat Dec 24 07:06:01 GMT 2022","218","","Local Storage / Session Storage","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Sat Dec 24 07:06:00 GMT 2022","Sat Dec 24 07:06:00 GMT 2022","249","","Local Storage / Session Storage","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Sat Dec 24 07:05:59 GMT 2022","Sat Dec 24 07:06:00 GMT 2022","680","","Local Storage / Session Storage","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Sat Dec 24 07:06:52 GMT 2022","Sat Dec 24 07:06:53 GMT 2022","517","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Sat Dec 24 07:05:42 GMT 2022","Sat Dec 24 07:05:43 GMT 2022","191","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sat Dec 24 07:06:27 GMT 2022","Sat Dec 24 07:06:27 GMT 2022","132","","Cypress.platform","","","","Get underlying OS name",""
"passed","Sat Dec 24 07:05:58 GMT 2022","Sat Dec 24 07:05:58 GMT 2022","553","","Files","","","","cy.fixture() - load a fixture",""
"passed","Sat Dec 24 07:06:40 GMT 2022","Sat Dec 24 07:06:41 GMT 2022","353","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"passed","Sat Dec 24 07:06:32 GMT 2022","Sat Dec 24 07:06:33 GMT 2022","528","","Navigation","","","","cy.reload() - reload the page",""
"passed","Sat Dec 24 07:06:44 GMT 2022","Sat Dec 24 07:06:44 GMT 2022","186","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Sat Dec 24 07:06:12 GMT 2022","Sat Dec 24 07:06:15 GMT 2022","3103","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Sat Dec 24 07:06:43 GMT 2022","Sat Dec 24 07:06:43 GMT 2022","241","","Traversal","","","",".next() - get next sibling DOM element",""
"passed","Sat Dec 24 07:06:27 GMT 2022","Sat Dec 24 07:06:27 GMT 2022","164","","Cypress.spec","","","","Get current spec information",""
"passed","Sat Dec 24 07:06:45 GMT 2022","Sat Dec 24 07:06:45 GMT 2022","176","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Sat Dec 24 07:06:27 GMT 2022","Sat Dec 24 07:06:27 GMT 2022","126","","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Sat Dec 24 07:05:50 GMT 2022","Sat Dec 24 07:05:51 GMT 2022","528","","Misc","","","","cy.exec() - execute a system command",""
"passed","Sat Dec 24 07:06:14 GMT 2022","Sat Dec 24 07:06:14 GMT 2022","198","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Sat Dec 24 07:06:05 GMT 2022","Sat Dec 24 07:06:05 GMT 2022","571","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Sat Dec 24 07:05:50 GMT 2022","Sat Dec 24 07:05:50 GMT 2022","783","","Misc","","","",".end() - end the command chain",""
"passed","Sat Dec 24 07:05:42 GMT 2022","Sat Dec 24 07:05:42 GMT 2022","195","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Sat Dec 24 07:06:44 GMT 2022","Sat Dec 24 07:06:44 GMT 2022","128","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Sat Dec 24 07:06:16 GMT 2022","Sat Dec 24 07:06:16 GMT 2022","253","","example to-do app","","","","can check off an item as completed",""
"passed","Sat Dec 24 07:06:21 GMT 2022","Sat Dec 24 07:06:21 GMT 2022","180","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Sat Dec 24 07:06:44 GMT 2022","Sat Dec 24 07:06:44 GMT 2022","172","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sat Dec 24 07:06:45 GMT 2022","Sat Dec 24 07:06:45 GMT 2022","185","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Sat Dec 24 07:05:51 GMT 2022","Sat Dec 24 07:05:52 GMT 2022","654","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Sat Dec 24 07:06:15 GMT 2022","Sat Dec 24 07:06:15 GMT 2022","611","","example to-do app","","","","displays two todo items by default",""
"passed","Sat Dec 24 07:06:00 GMT 2022","Sat Dec 24 07:06:01 GMT 2022","240","","Local Storage / Session Storage","","","","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Sat Dec 24 07:06:21 GMT 2022","Sat Dec 24 07:06:21 GMT 2022","162","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
